card_number,Phone 1,Phone 2,Email,IP
8614413076415594,9788188089,7357754238,6070466056,2171412445
7555873583576550,6037263525,9511428779,3207339988,217389163
8890851743491005,7779071602,3435973973,1161349644,2251237184
6697868789142339,6945241788,6419471887,5644975948,75454633
2748872022862026,4616284468,2972255719,7862751195,21137255185
3697635618820807,4624409611,7051326210,5286001714,2544197228
1031413763868378,8412393398,8699778009,7518164617,366011736
6695525030999798,4916399348,5305316078,5898354364,11217177231
7904351745800159,5415289857,7539839851,8918658954,482213671
5096457997874361,6510369884,8108108202,8564401289,6820521758
8349906906584183,9230444560,3415720584,9196872633,43252199207
2688151303779101,5395073454,1020592284,5424030990,21422248193
9411011007037986,2583359044,8626488165,2789168304,2041722967
4612258452716285,3043481598,9350868111,6975433593,24622114231
9781234934897952,7005078427,2847366260,9518018251,10750148149
5592671664405040,8216066051,1348547463,4055523302,1468238218
5744644841969981,8439681569,2442195281,7868373072,54191135
7434842024828668,9810397234,9122907699,3735382419,63142245150
1447489346240049,6772316227,9447977490,6196687645,492042396
1505020184649726,9463560682,4720030429,3685860917,1222842106
5360490680881668,2761484142,5824244176,9065873981,114026102
3842864804339230,8793978099,6192795002,9963895329,751104877
2279322337686300,4942713293,5470202386,1147072376,851845109
6936550565320507,9324503546,5611578018,2503292584,1082023553
4077045837064286,3393980375,4427854579,2322740532,6516226212
6526860035120775,2270076024,4049477365,3738187046,3211419075
5678472128411900,3512858357,8688578119,7646696835,182271912
4867325838199037,5802867692,5701317549,8624968046,2101353144
7336872255843711,6438110230,1559133148,4550443487,97171157243
1048103939394321,1711117458,6694050725,6419693016,14822666100
6548938917779350,4213639197,2040563732,6889042531,4982146209
7037438146939842,8044601886,2732666982,7355563168,136122203204
6124292787827621,9024900763,4256452566,2698949996,11111322187
1048458482582661,6506484500,2721643013,9430061363,821925182
5274373270785187,7931982914,4901700212,6885795648,189130182110
3876141105444126,8451814191,1032703515,2185470941,221205120223
4050543581247083,1580841647,2578653254,1612023470,2542299843
7067766910023727,2952178996,1395629794,5673040394,1744212429
5338954310201988,3594079733,2893951772,4261649809,16424813272
8876684692386706,1574257035,5390200300,8864418052,15212021179
6228600953635665,6272556317,9052888822,3230276425,573912158
3854043526770164,2982160458,5266889679,6887556819,112423822
5501095176300861,5696584836,4756323229,2017203057,16623513992
4199888410587094,8750884417,6687626565,4978949283,17175169170
7371443936723216,2763305835,8070139337,5180020906,109144149107
1252874442832988,4322143850,6098001460,7247326661,24412177124
5098461577585764,5080012473,3174963467,5584555315,16220918
3227824291169080,2103149598,7693624272,1470350164,10428103119
4634052828381178,4844183082,5487897181,4069359416,95101125108
7296338291887325,7014130038,9667328400,1012876048,160136174114
7490601272659170,7473729282,3203778628,1369357624,633218413
2800214303933147,7175222877,6763794659,3608831875,1787932
1243735385945418,2074011617,4736531610,8737545979,240201225179
9588343210832326,8260852110,3069813040,5395936472,1122948182
1279487569410362,9347312950,6673256348,2940045294,3811651149
5159320842282121,9074836266,3050866109,4243841980,15623050112
6559988752235539,5657985120,6092646944,4303287423,98251281
2589495084230752,7102064961,7453743437,7704451225,6021922108
5866970678317624,4199298697,5082650161,7541301237,1011363197
3728415576761592,9518508906,4530016122,3835986568,3721569112
9331069257719290,2485958206,7235883050,5585620884,219247111139
5814787415826894,2214651517,3960254497,1337307794,348980114
3415370246114265,6299074426,7277458311,7541308219,887618653
5683681587130046,6719442114,5789269440,2620614980,123116794
1462045692280862,4608802671,7187289603,8619985419,18624510322
,7476252047,8948472813,1616795572,25064225218
,9842910910,7681444865,4914873616,223141148178
,2800144741,5992151416,7017088950,22422417036
,8497007279,7755154956,9520641491,173164166137
,2842218085,4253201481,4782782080,20021416277
,,1024689618,7995858496,14582128167
9162930364412902,,1580233828,8414342838,19123865102
6107748784989363,,5662116172,1798678236,24614012663
4066706161734186,,4630789860,5735619282,1021045959
9073456122642796,,8461215361,8529632340,21514566208
2728175242164119,,,9249607117,148166236161
1207756190075292,4453069188,,7113717156,17916252196
4452485765450735,1335958828,,9876007006,4123204156
7126268792418755,5199863693,,7580815033,822956222
6036859017773856,6537842587,,4399821297,132894697
5912708589229026,9100715916,,,54168208124
5790145080840327,6471438730,4537683114,,15113476155
8254777091868061,1833460354,2256915347,,232255166114
7427042242257029,1554516673,6349294735,,139242108163
3051269368055605,5575792393,6440362413,,8213228
7180808753616795,6064824391,9692869423,,
7536283507342090,3054062880,1626695410,3552474063,
7252130951543255,1878041770,5706720121,1133288003,
9034404848160010,2994793481,3400448225,9946207062,
2619567617336910,4657843487,4632605976,4448559180,
2251187433702488,8963583283,9102086807,8558450316,
3569876871164835,6631956223,4215547301,6020965627,214119146
4111496401406682,1349290152,7418102126,8928951864,15423117227
5113174250207988,7657012294,1720884701,7722819653,140183252156
1123199429195660,8404419895,7288463653,4586410593,10715029123
