card_number,Phone 1,Phone 2,Email,IP
2002783120652701,9697354961,2181241943,0.0,111119013101
2002783120652701,9697354961,2181241943,0.0,111119013101
2002783120652701,9697354961,2181241943,0.0,111119013101
2002783120652701,9697354961,2181241943,0.0,111119013101
2002783120652701,9697354961,2181241943,0.0,111119013101
6853639772802993,2801823908,4733616459,0.0,194049183176
6853639772802993,2801823908,4733616459,0.0,194049183176
6853639772802993,2801823908,4733616459,0.0,194049183176
6853639772802993,2801823908,4733616459,0.0,194049183176
6853639772802993,2801823908,4733616459,0.0,194049183176
