card_number,Phone 1,Phone 2,Email,IP
2002783120652701,7663320708,9397868172,,251230065117
7679292727990993,5065618967,1591274479,,173176043245
3205789010285143,1179276130,7539772068,,067236143151
2256845828445918,5447868483,6186857522,,233095239021
1923193498493097,3180143731,7790041807,,180135142193
7671341247540589,8088143319,8005009631,,050230114161
5912226647794000,7148312531,6126810947,,115205028214
6318681714335618,5172413186,3463536267,,146148255001
1286274267320729,1237754569,2549243415,,216250157002
1843931136871022,4484778286,3334726169,,032080197015
3095622856943755,8989903930,1299072274,,078233027011
6422501460899537,4169357602,1082723317,,229033055013
6055245340839859,7667919375,2168274876,,219151027074
7449328040642089,5518908675,9423323856,,099074182203
7316976265679753,8583544368,8786569587,,008031050145
4778697387657462,3986894360,1145711711,,153159198168
5046113542687712,1591719508,8262907193,,134037034092
3505720811101612,2880993200,7744870231,,141089073210
8829960785319307,6874264020,7770593436,,030217042127
7834727514924831,6126668956,5828031098,,092061242081
2438083065719741,1248775268,4484511485,,160073039210
4806572383388538,1996575994,6821396356,,220227073108
3502842113501302,3528092810,8511238909,,208247165220
2939371675451696,6270465561,6709313280,,232210189148
7876946831764067,3439750224,8287267834,,203114230241
1920627685560185,4091632789,2868840057,,178171227056
4422080015937809,4490184455,7333576356,,041246067144
4233397824710551,1329044656,1051457286,,058227009221
4098079514682387,5839207920,9876996888,,101111244233
3382592750766595,6070610390,9559118770,,133227078210
1391369476535679,5482740815,6174119919,,226108084197
5138131109426128,2255903097,6609368920,,056119213033
2124334546861701,7898249382,8658596381,,172113204157
9307299858652492,1329869970,1790809078,,024247200068
1709766446293267,3334942645,5992067081,,023090079014
3640715768301809,6241094005,7897886806,,246157164209
6662286581849394,8357853916,4085641527,,092142045125
8975439097614202,9338365438,1198354032,,073143175055
4257319783191233,3807379048,5683650794,,066122037146
2731982401558975,6444022456,5349767729,,042138086041
1626497020678640,3162281537,5062794624,,179075175130
6956127698920857,5526884931,8112951912,,175060128112
7963178052749966,9162264848,7221138169,,156111075176
9874086576247885,7965886270,5088975453,,031028195064
8704016325525297,2201662484,2028248023,,018178035030
8804587936853752,6285111559,8973327211,,098128038184
4423871052757712,1905248698,2210500728,,155070096144
5083956746635065,1609718865,8959378990,,145077126180
8513000042575663,5200090187,6348193893,,069226031214
